Sylvain Marveaux,M,0,0,0,0
Gabriel Obertan,M,3,2,0,1
Henri Saivet,M,2,2,0,0
Jonjo Shelvey,M,25,4,1,5
Moussa Sissoko,M,34,0,1,6
Ismael Tiot,M,13,4,0,0
Andros Townsend,M,9,4,3,2
Georginio Wijnaldum,M,33,2,9,5
Daniel Tan Barlaser,F,0,0,0,0
Papiss Demba Cisse,F,12,7,3,0
Seydou Doumbia,F,0,3,0,0
Aleksandar Mitrovic,F,21,10,8,3
Ayoze Prez,F,22,10,6,2
Emmanuel Riviere,F,1,2,0,0
Kelvin Davis,G,1,0,0,0
Fraser Forster,G,15,0,0,0
Paulo Gazzaniga,G,2,0,0,0
Maarten Stekelenburg,G,17,0,0,0
Cedric Soares,D,23,1,0,2
Ryan Bertrand,D,29,0,0,3
Jose Fonte,D,34,0,2,0
Florin Gardos,D,--,--,--,--
Cuco Martina,D,8,4,1,0
Matt Targett,D,13,1,0,1
Maya Yoshida,D,10,10,1,0
Virgil van Dijk,D,31,0,3,0
Jordy Clasie,M,18,2,0,0
Steven Davis,M,28,3,2,3
Sadio Man,M,27,7,7,6
Harrison Reed,M,0,1,0,0
Oriol Romeu,M,16,10,1,0
Dusan Tadic,M,24,7,7,7
Victor Wanyama,M,26,1,1,1
James Ward-Prowse,M,14,16,2,4
Charlie Austin,F,2,4,1,0
Juanmi,F,0,12,0,0
Shane Long,F,20,5,9,4
Olufela Olomola,F,0,0,0,0
Graziano Pell,F,23,5,10,5
Jay Rodriguez,F,3,8,0,0
Daniel Bachmann,G,--,--,0,0
Jack Butland,G,31,0,0,0
Shay Given,G,2,0,0,0
Jakob Haugaard,G,2,1,0,0
Phillip Bardsley,D,7,1,0,1
Geoff Cameron,D,24,3,0,0
Glen Johnson,D,25,0,0,3
Marc Muniesa,D,12,2,0,0
Erik Pieters,D,32,0,0,1
Ryan Shawcross,D,17,0,0,0
Dionatan Teixeira,D,0,1,0,0
Marc Wilson,D,1,3,0,0
Philipp Wollscheid,D,29,1,0,0
Charlie Adam,M,10,9,0,0
Ibrahim Afellay,M,24,7,2,2
Mohamed El Ouriachi,M,0,0,0,0
Giannelli Imbula,M,11,0,1,0
Stephen Ireland,M,0,12,0,1
Xherdan Shaqiri,M,25,0,3,6
Oliver Shenton,M,0,0,0,0
Glenn Whelan,M,34,0,0,1
Marko Arnautovic,F,30,1,10,5
Peter Crouch,F,2,7,0,0
Mame Diouf,F,12,12,4,1
Bojan Krkic,F,21,4,7,1
Joselu,F,9,12,4,1
Jonathan Walters,F,17,7,5,3
Steve Harper,G,--,--,0,0
Vito Mannone,G,16,0,0,0
Jordan Pickford,G,1,0,0,0
Maksymilian Stryjek,G,--,--,0,0
Tom Beadling,D,0,0,0,0
Wes Brown,D,6,0,0,0
Emmanuel Ebou,D,--,--,--,--
Billy Jones,D,23,0,1,1
Younes Kaboul,D,20,1,0,1
Jan Kirchhoff,D,11,1,0,0
Lamine Kone,D,11,0,0,1
John O'Shea,D,22,3,0,0
Josh Robson,D,--,--,--,--
Patrick Van Aanholt,D,30,0,3,2
DeAndre Yedlin,D,17,2,0,1
Lee Cattermole,M,24,4,0,0
George Honeyman,M,0,0,0,0
Wahbi Khazri,M,10,1,1,1
Sebastian Larsson,M,5,9,0,1
Yann M'Vila,M,33,0,1,3
Jack Rodwell,M,8,13,0,0
Ola Toivonen,M,9,3,0,2
Fabio Borini,F,19,4,4,2
Jermain Defoe,F,25,5,13,1
Jeremain Lens,F,13,6,2,2
Mikael Mandron,F,0,0,0,0
Dame N'Doye,F,4,5,1,0
Duncan Watmore,F,6,13,3,0
