Rohan Ricketts,NA,In,2002
Tim Sherwood,NA,Out,2002
Jonathan Blondel,NA,In,2002
Les Ferdinand,NA,Out,2002
Jamie Redknapp,NA,In,2002
Stephen Clemence,250000,Out,2002
Milenko Acimovic,NA,In,2002
John Piercy,NA,Out,2002
Oyvind Leonhardsen,NA,Out,2002
Chris Armstrong,NA,Out,2002
Yannick Kamanan,NA,Out,2002
Dave Beasant,NA,In,2001
Ciaran Toner,NA,Out,2001
Dean Richards,8100000,In,2001
Dave Beasant,NA,Out,2001
Kasey Keller,NA,In,2001
Luke Young,3000000,Out,2001
Christian Ziege,4000000,In,2001
Dave McEwen,NA,Out,2001
Goran Bunjevcevic,1400000,In,2001
Ian Walker,2500000,Out,2001
Sol Campbell,NA,Out,2001
Ramon Vega,NA,Out,2001
Gustavo Poyet,NA,In,2000
Neale Fenn,NA,Out,2000
Teddy Sheringham,NA,In,2000
Mark Gower,32500,Out,2000
Steven Ferguson,NA,In,2000
Jose Dominguez,NA,Out,2000
Ben Thatcher,5000000,In,2000
Ruel Fox,200000,Out,2000
David Lee,NA,Out,2000
Allan Nielsen,2250000,Out,2000
Espen Baardsen,1250000,Out,2000
David Ginola,3000000,Out,2000
Peter Crouch,60000,Out,2000
John Scales,NA,Out,2000
Sergei Rebrov,11000000,In,1999
Paul McVeigh,NA,Out,1999
Neil Sullivan,NA,In,1999
Justin Edinburgh,175000,Out,1999
Gary Doherty,1000000,In,1999
Paolo Tramezzani,NA,Out,1999
Jon Jonssen,250000,In,1999
Moussa Saib,640000,Out,1999
Anthony Gardner,1000000,In,1999
Simon Webb,NA,In,1999
Dave McEwen,NA,Out,1999
Alan Marriott,NA,In,1999
Simon Davies,700000,Out,1999
Clive Wilson,NA,In,1999
Matthew Etherington,500000,Out,1999
Simon Brown,NA,In,1999
Oyvind Leonhardsen,3000000,Out,1999
Rory Allen,1000000,In,1999
Andy Sinton,NA,Out,1999
Chris Perry,4000000,In,1999
Roger Nilsen,NA,Out,1999
Willem Korsten,1500000,In,1998
Ross Fitzsimon,NA,Out,1998
Roger Nilsen,NA,In,1998
Peter Gain,15000,Out,1998
Tim Sherwood,4000000,In,1998
Colin Calderwood,225000,Out,1998
Steffen Freund,750000,In,1998
Nicola Berti,NA,Out,1998
Mauricio Taricco,1775000,In,1998
Mark Arber,75000,Out,1998
Paolo Tramezzani,1350000,In,1997
Garry Brady,NA,Out,1997
Moussa Saib,2300000,In,1997
Dean Austin,NA,Out,1997
Frode Grodas,250000,In,1997
Danny Hill,NA,Out,1997
Nicola Berti,NA,In,1997
David Howells,NA,Out,1997
Jose Dominguez,1600000,In,1997
Les Ferdinand,6000000,In,1997
Jamie Clapham,300000,Out,1997
David Ginola,2000000,In,1997
Kevin Maher,NA,Out,1997
Leon Townley,55000,Out,1997
Ronny Rosenthal,NA,Out,1997
Simon Wormull,NA,Out,1997
Ramon Vega,3750000,In,1996
Teddy Sheringham,3500000,Out,1996
Kevin Watson,NA,In,1996
Kevin Scott,250000,Out,1996
John Scales,2600000,In,1996
Jason Cundy,200000,Out,1996
Steve Slade,350000,In,1996
Gerry McMahon,450000,Out,1996
Steffen Iversen,2500000,In,1996
Andy Turner,250000,Out,1996
Chris Day,225000,In,1996
Espen Baardsen,NA,In,1995
Kevin Watson,NA,Out,1995
Darren Caskey,700000,In,1995
Steve Slade,350000,Out,1995
Nick Barmby,NA,In,1995
Chris Day,225000,Out,1995
Darren Caskey,700000,Out,1995
Nick Barmby,5250000,Out,1995
Jurgen Klinnsmann,1400000,Out,1995
Chris Armstrong,4500000,In,1994
John Hendry,200000,Out,1994
Clive Wilson,NA,In,1994
Gica Popescu,2800000,Out,1994
Gica Popescu,2900000,In,1994
Gudni Bergsson,65000,Out,1994
Ilie Dumitrescu,2600000,In,1994
Steve Robinson,NA,Out,1994
Jurgen Klinsmann,2000000,In,1994
Neil Young,NA,Out,1994
Peter Beadle,NA,Out,1994
Ijah Anderson,NA,Out,1994
Vinny Samways,2200000,Out,1994
Owen Coll,NA,In,1993
Jeff Minton,NA,Out,1993
Kevin Scott,850000,In,1993
Neil Le Bihan,NA,Out,1993
Ronny Rosenthal,250000,In,1993
Glynn Hurst,NA,Out,1993
David Kerslake,450000,In,1993
Andy Quy,NA,Out,1993
Jason Dozzell,1900000,In,1993
Steve Sedgley,1000000,Out,1993
Andy Gray,NA,Out,1993
Lee Hodges,NA,Out,1993
Junior McDougald,NA,Out,1993
Gordon Durie,1200000,Out,1993
Kevin Dearden,NA,Out,1993
Paul Allen,500000,Out,1993
Pat Van Den Hauwe,NA,Out,1993
David McDonald,NA,Out,1993
Scott Houghton,NA,Out,1993
Ian Hendon,50000,Out,1993
David Tuttle,350000,Out,1993
Colin Calderwood,1250000,In,1992
Neil Ruddock,2500000,Out,1992
Teddy Sheringham,2100000,In,1992
Mark Robson,NA,Out,1992
