Ritchie Hanlon,Free,Out
Gianluca Vialli,Free,In
Muzzy Izzet,650000,Out
Dan Petrescu,2300000,In
Zeke Rowe,Free,Out
Junior Mendes,,
Terry Skiverton,Free,Out
Darren Barnard,750000,Out
Robert Fleck,650000,Out
Andy Dow,125000,Out
,,
Mark Hughes,1500000,In
David Hopkin,850000,Out
Ruud Gullit,Free,In
Neil Shipperley,1250000,Out
David Rocastle,1250000,In
,,
Scott Minto,775000,In
Damian Matthew,150000,Out
Paul Furlong,2300000,In
Dave Beasant,300000,Out
Mark Stein,1500000,In
Steve Livingstone,140000,Out
Gavin Peacock,1250000,In
Ian Pearce,300000,Out
Jakob Kjeldberg,400000,In
Graham Stuart,850000,Out
,,
Andy Dow,250000,In
Andy Townsend,2100000,Out
Steve Livingstone,350000,In
Graeme Le Saux,700000,Out
Dmitri Kharin,200000,In
Mick Harford,250000,Out
David Hopkin,300000,In
Joe Allon,275000,Out
Nigel Spackman,485000,In
Vinny Jones,700000,Out
Anthony Barness,350000,In
Ken Monkou,750000,Out
Mick Harford,300000,In
Robert Fleck,2100000,In
John Spencer,450000,In
Nick Colgan,Signed,In
Mai Donaghy,150000,In
