Igor Stepanovs,1000000,In
Rhys Weston,300000,Out
Sylvain Wiltord,13000000,In
Brian McGovern,50000,Out
Guy Demel,Free,In
Emmanuel Petit,5000000,Out
Moritz Volz,Signed,In
Marc Overmars,25000000,Out
Sebastian Svard,Nominal,In
Jay Bothroyd,1000000,Out
Robert Pires,6000000,In
,,
Lauren,7200000,In
Julian Gray,500000,Out
Niccolo Galli,0,Out
Tommy Black,500000,Out
Thierry Henry,10500000,In
Davor Suker,Free,Out
Davor Suker,500000,In
Nigel Winterburn,Signed,Out
Sylvinho,4000000,In
Narada Bernard,Free,Out
Stefan Malz,650000,In
Stephen Hughes,3000000,Out
Omer Riza,Nominal,Out
Luis Boa Morte,500000,Out
Dave Livermore,30000,Out
Nicolas Anelka,23000000,Out
Michael Black,Free,Out
Jason Crowe,1000000,Out
Steve Bould,500000,Out
,,
Oleg Luzhny,1800000,In
Kaba Diawara,3000000,Out
Kaba Diawara,2500000,In
William Huck,50000,Out
Nwankwo Kanu,4500000,In
Jamie Day,20000,Out
Jermaine Pennant,2000000,In
Isaiah Rankin,1300000,Out
William Huck,Free,In
Ian Wright,500000,Out
Eric Chukwunyelu Obinna,Signed,In
Fredrik Ljungberg,3000000,In
Nelson Vivas,Free,In
,,
David Grondin,500000,In
Richard Hughes,Free,Out
Christopher Wreh,300000,In
Peter Clark,Free,Out
Vince Bartram,Signed,Out
Valur Gislason,Unknown,Out
Jehad Muntasser,Free,Out
Glenn Helder,Nominal,Out
Ian Selley,500000,Out
Paul Shaw,250000,Out
,,
Lee Canoville,Signed,In
Lee Harper,125000,Out
Marc Overmars,7000000,In
Paul Merson,4500000,Out
Alberto Mendez,Unknown,In
Matthew Rose,500000,Out
Luis Boa Morte,1750000,In
John Hartson,3300000,Out
Gilles Grimandi,2500000,In
Andy Linighan,110000,Out
Emmanuel Petit,2500000,In
Paul Read,35000,Out
Alex Manninger,500000,In
David Hillier,250000,Out
Matthew Upson,2000000,In
Eddie McGoldrick,300000,Out
Nicolas Anelka,500000,In
Paul Dickov,1000000,Out
Patrick Vieira,3500000,In
Roy O'Brien,Signed,Out
Remi Garde,Free,In
Kevin Dennis,Free,Out
Ben Smith,Signed,Out
Richard Goddard,Free,Out
,,
Valur Gislason,0,In
Stefan Schwarz,1750000,Out
John Lukic,Free,In
David Platt,4750000,Out
Dennis Bergkamp,7500000,In
,,
Glenn Helder,2300000,In
Jimmy Carter,Free,Out
John Hartson,2500000,In
Kevin Campbell,2800000,Out
Chris Kiwomya,1500000,In
Alan Miller,500000,Out
Vince Bartram,40000,In
,,
Lee Harper,150000,In
Ryan Kirby,Free,Out
Stefan Schwarz,3500000,In
Anders Limpar,1600000,Out
Neil Heaney,300000,In
Paul Harford,Free,Out
,,
Eddie McGoldrick,1000000,In
Nicky Rust,Free,Out
Martin Keown,2000000,In
Jason Brissett,Free,Out
John Jensen,1100000,In
Matt Joseph,Free,Out
David Rocastle,2000000,Out
