Karim Kerkar,NA,In,2002
Richard Edghill,NA,Out,2002
Peter Schmeichel,NA,In,2002
Terry Dunfield,NA,Out,2002
Mikkel Bischoff,750000,In,2002
Chris Killen,200000,Out,2002
Terry Cooke,NA,Out,2002
Tyrone Mears,200000,Out,2002
Nicolas Anelka,13000000,In,2001
Alioune Toure,NA,Out,2001
Vicente Matias Vuoso,3500000,In,2001
Paul Dickov,NA,Out,2001
Sylvain Distin,4000000,In,2001
Leon Mike,50000,Out,2001
Sun Jihai,2000000,In,2001
Dickson Etuhu,300000,Out,2001
Jon Macken,5000000,In,2001
Danny Granville,500000,Out,2001
Niclas Jensen,700000,In,2001
Nicky Summerbee,NA,Out,2001
Christian Negouai,1500000,In,2001
Tony Grant,250000,Out,2001
Lucien Mettomo,1500000,In,2001
Stephen Hodgson,NA,Out,2001
Alioune Toure,NA,In,2001
Jim Whitley,NA,Out,2001
Ali Benarbia,NA,In,2001
Mark Kennedy,2000000,Out,2001
Nicky Summerbee,NA,In,2001
Shaun Holmes,NA,Out,2001
Eyal Berkovic,1500000,In,2001
Richard McKinney,NA,Out,2001
Simon Colosimo,NA,In,2001
Spencer Prior,700000,Out,2001
Stuart Pearce,NA,In,2001
Gareth Taylor,NA,Out,2001
Carlo Nash,100000,In,2000
Tommy Wright,NA,Out,2000
Darren Huckerby,3000000,In,2000
Ian Bishop,NA,Out,2000
Laurent Charvet,1000000,In,2000
Lee Crooks,190000,Out,2000
Richard Dunne,3000000,In,2000
Richard Jobson,NA,Out,2000
Paul Ritchie,500000,In,2000
Danny Allsopp,300000,Out,2000
Steve Howey,2000000,In,2000
Gary Mason,NA,Out,2000
Paulo Wanchope,3650000,In,2000
Nick Fenton,150000,Out,2000
George Weah,NA,In,2000
George Weah,NA,Out,2000
Rob Taylor,1550000,Out,2000
Jamie Pollock,750000,Out,2000
Lee Peacock,600000,Out,2000
Craig Russell,NA,Out,2000
Alf-Inge Haaland,2500000,In,1999
Tony Vaughan,350000,Out,1999
Spencer Prior,500000,In,1999
Chris Greenacre,NA,Out,1999
Tony Grant,450000,In,1999
Michael Brown,400000,Out,1999
Rob Taylor,1500000,In,1999
Alan Reilly,NA,Out,1999
Danny Granville,1000000,In,1999
Mikhail Kavelashvili,NA,Out,1999
Lee Peacock,500000,In,1999
Andy Porteous,NA,Out,1999
Mark Kennedy,1000000,In,1999
Neil Heaney,NA,Out,1999
Alan Bailey,NA,Out,1999
Steve Rimmer,NA,Out,1999
Terry Cooke,1000000,In,1998
Anthony Fenton,NA,Out,1998
Gareth Taylor,400000,In,1998
Lee Bradbury,1500000,Out,1998
Andy Morrison,80000,In,1998
Ged Brannan,378000,Out,1998
Nigel Clough,NA,Out,1998
Barry Conlon,NA,Out,1998
David Morley,NA,Out,1998
Paul Beesley,NA,Out,1998
Martin Phillips,100000,Out,1998
Scott Hiley,NA,Out,1998
Ian Bishop,NA,In,1997
Brian McGlinchey,NA,Out,1997
Shaun Goater,400000,In,1997
Georgi Kinkladze,5000000,Out,1997
Jamie Pollock,1000000,In,1997
John Foster,NA,Out,1997
Richard Jobson,NA,In,1997
Jason Van Blerk,250000,Out,1997
Andy Porteous,NA,In,1997
Alan Kernaghan,NA,Out,1997
Nicky Summerbee,1000000,Out,1997
Craig Russell,1000000,In,1997
Jim Bentley,NA,Out,1997
Murtaz Shelia,400000,In,1997
Chris Beech,NA,Out,1997
Barry Conlon,NA,In,1997
Tony Scully,200000,In,1997
Lee Bradbury,3000000,In,1997
Tony Vaughan,1350000,In,1997
Kakhaber Tskhadadze,150000,In,1997
Nicky Weaver,200000,In,1996
Peter Beagrie,200000,Out,1996
Ged Brannan,750000,In,1996
Steve Lomas,1600000,Out,1996
Tommy Wright,450000,In,1996
Andy Dibble,NA,Out,1996
Paul Beesley,500000,In,1996
Michael Frontzeck,250000,Out,1996
Kevin Horlock,1250000,In,1996
Niall Quinn,1300000,Out,1996
Neil Heaney,500000,In,1996
John Sharpe,NA,Out,1996
